"Notes"	"County"	"County Code"	Births
	"Clackamas County, OR"	"41005"	3807
	"Deschutes County, OR"	"41017"	1700
	"Douglas County, OR"	"41019"	1085
	"Jackson County, OR"	"41029"	2350
	"Lane County, OR"	"41039"	3473
	"Linn County, OR"	"41043"	1473
	"Marion County, OR"	"41047"	4397
	"Multnomah County, OR"	"41051"	9505
	"Washington County, OR"	"41067"	7174
	"Unidentified Counties, OR"	"41999"	10191
	"Allegheny County, PA"	"42003"	13130
	"Beaver County, PA"	"42007"	1696
	"Berks County, PA"	"42011"	4871
	"Blair County, PA"	"42013"	1316
	"Bucks County, PA"	"42017"	6163
	"Butler County, PA"	"42019"	1793
	"Cambria County, PA"	"42021"	1373
	"Centre County, PA"	"42027"	1246
	"Chester County, PA"	"42029"	5594
	"Cumberland County, PA"	"42041"	2494
	"Dauphin County, PA"	"42043"	3447
	"Delaware County, PA"	"42045"	6793
	"Erie County, PA"	"42049"	3222
	"Fayette County, PA"	"42051"	1362
	"Franklin County, PA"	"42055"	1870
	"Lackawanna County, PA"	"42069"	2208
	"Lancaster County, PA"	"42071"	6988
	"Lebanon County, PA"	"42075"	1674
	"Lehigh County, PA"	"42077"	4095
	"Luzerne County, PA"	"42079"	3154
	"Lycoming County, PA"	"42081"	1279
	"Mercer County, PA"	"42085"	1128
	"Monroe County, PA"	"42089"	1449
	"Montgomery County, PA"	"42091"	9065
	"Northampton County, PA"	"42095"	2957
	"Philadelphia County, PA"	"42101"	23256
	"Schuylkill County, PA"	"42107"	1447
	"Washington County, PA"	"42125"	1999
	"Westmoreland County, PA"	"42129"	3192
	"York County, PA"	"42133"	4899
	"Unidentified Counties, PA"	"42999"	18018
	"Kent County, RI"	"44003"	1567
	"Providence County, RI"	"44007"	7435
	"Washington County, RI"	"44009"	894
	"Unidentified Counties, RI"	"44999"	1064
	"Aiken County, SC"	"45003"	1845
	"Anderson County, SC"	"45007"	2242
	"Beaufort County, SC"	"45013"	2023
	"Berkeley County, SC"	"45015"	2547
	"Charleston County, SC"	"45019"	4756
	"Florence County, SC"	"45041"	1832
	"Greenville County, SC"	"45045"	6087
	"Horry County, SC"	"45051"	3098
	"Lexington County, SC"	"45063"	3263
	"Pickens County, SC"	"45077"	1245
	"Richland County, SC"	"45079"	4920
	"Spartanburg County, SC"	"45083"	3545
	"Sumter County, SC"	"45085"	1514
	"York County, SC"	"45091"	2830
	"Unidentified Counties, SC"	"45999"	15646
	"Minnehaha County, SD"	"46099"	2781
	"Unidentified Counties, SD"	"46999"	9065
	"Blount County, TN"	"47009"	1293
	"Davidson County, TN"	"47037"	9602
	"Hamilton County, TN"	"47065"	4059
	"Knox County, TN"	"47093"	5147
	"Montgomery County, TN"	"47125"	3061
	"Rutherford County, TN"	"47149"	3653
	"Shelby County, TN"	"47157"	14019
	"Sullivan County, TN"	"47163"	1511
	"Sumner County, TN"	"47165"	1926
	"Washington County, TN"	"47179"	1331
	"Williamson County, TN"	"47187"	2014
	"Unidentified Counties, TN"	"47999"	31972
	"Bell County, TX"	"48027"	6224
	"Bexar County, TX"	"48029"	25823
	"Brazoria County, TX"	"48039"	4377
	"Brazos County, TX"	"48041"	2564
	"Cameron County, TX"	"48061"	7564
	"Collin County, TX"	"48085"	10380
	"Dallas County, TX"	"48113"	38695
	"Denton County, TX"	"48121"	9202
	"Ector County, TX"	"48135"	2447
	"Ellis County, TX"	"48139"	1950
	"El Paso County, TX"	"48141"	13909
	"Fort Bend County, TX"	"48157"	7718
	"Galveston County, TX"	"48167"	3897
	"Grayson County, TX"	"48181"	1476
	"Gregg County, TX"	"48183"	1913
	"Harris County, TX"	"48201"	65980
	"Hidalgo County, TX"	"48215"	16104
	"Jefferson County, TX"	"48245"	3436
	"Johnson County, TX"	"48251"	1925
	"Lubbock County, TX"	"48303"	3882
	"McLennan County, TX"	"48309"	3442
	"Midland County, TX"	"48329"	2310
	"Montgomery County, TX"	"48339"	6360
	"Nueces County, TX"	"48355"	4634
	"Potter County, TX"	"48375"	2026
	"Randall County, TX"	"48381"	1651
	"Smith County, TX"	"48423"	2956
	"Tarrant County, TX"	"48439"	27348
	"Taylor County, TX"	"48441"	2040
	"Tom Green County, TX"	"48451"	1533
	"Travis County, TX"	"48453"	15497
	"Webb County, TX"	"48479"	5446
	"Wichita County, TX"	"48485"	1837
	"Williamson County, TX"	"48491"	5977
	"Unidentified Counties, TX"	"48999"	64922
	"Davis County, UT"	"49011"	5715
	"Salt Lake County, UT"	"49035"	17861
	"Utah County, UT"	"49049"	11910
	"Weber County, UT"	"49057"	4007
	"Unidentified Counties, UT"	"49999"	11730
	"Chittenden County, VT"	"50007"	1523
	"Unidentified Counties, VT"	"50999"	4555
	"Arlington County, VA"	"51013"	3052
	"Chesterfield County, VA"	"51041"	3648
	"Fairfax County, VA"	"51059"	15092
	"Henrico County, VA"	"51087"	3940
	"Loudoun County, VA"	"51107"	4976
	"Prince William County, VA"	"51153"	6704
	"Alexandria city, VA"	"51510"	2658
	"Chesapeake city, VA"	"51550"	2755
	"Hampton city, VA"	"51650"	1733
	"Newport News city, VA"	"51700"	3050
	"Norfolk city, VA"	"51710"	3745
